"supplier_id","payment_method","discount","company_name","contact_fname","contact_lname","email","phone","country","state","city","street","dno","postal"
62445456,"Cash","23.0","Consectetuer Cursus Et Company","Shawnda","Yori","shawnda.yori@yahoo.com","7956777703","Seminole","FL","Longwood","N Plankinton Ave","50126",32750
87129121,"Cash","9.0","Facilisis Non Limited","Mona","Delasancha","mdelasancha@hotmail.com","7871034482","Laramie","WY","Cheyenne","Gravois Ave","38773",82001
38431823,"Cheque","15.0","Facilisis Non Limited","Gilma","Liukko","gilma_liukko@gmail.com","9237797015","Nassau","NY","Garden City","Greenwich St","16452",11530
45717158,"Card","6.0","Vitae Diam Proin Industries","Janey","Gabisi","jgabisi@hotmail.com","7976500663","Dane","WI","Madison","Cambridge Ave","40",53715
90500846,"Cash","11.0","Lorem Ipsum Dolor Consulting","Lili","Paskin","lili.paskin@cox.net","9243086568","Hudson","NJ","Kearny","4th Ave E","20113",7032
68239278,"Card","2.0","Proin LLP","Loren","Asar","loren.asar@aol.com","9181718672","Lackawanna","PA","Old Forge","Ridgewood Center Dr","6",18518
58203921,"Cheque","18.0","Leo Corporation","Dorothy","Chesterfield","dorothy@cox.net","8483231318","San Diego","CA","San Diego","Outwater Ln","469",92126
38893901,"Cheque","4.0","Vel Foundation","Gail","Similton","gail_similton@similton.com","9600385885","Riverside","CA","Thousand Palms","Monroe St","62",92276
93649568,"Cheque","10.0","Orci In Limited","Catalina","Tillotson","catalina@hotmail.com","9814185719","Atlantic","NJ","Margate City","A Lockport Pl","3338",8402
32266796,"Cheque","1.0","Sit Amet Luctus Company","Lawrence","Lorens","lawrence.lorens@hotmail.com","8742401034","Providence","RI","Providence","Hwy","9",2906
78802956,"Cheque","24.0","Ut Dolor Dapibus Consulting","Carlee","Boulter","carlee.boulter@hotmail.com","8085306355","Dickinson","KS","Abilene","Hart St","8284",67410
33250771,"Cash","21.0","Vel Foundation","Thaddeus","Ankeny","tankeny@ankeny.org","8462198787","Placer","CA","Roseville","Washington St","5",95678
84082901,"Online Payment","3.0","Fusce Aliquet Consulting","Jovita","Oles","joles@gmail.com","8157480732","Volusia","FL","Daytona Beach","S Haven St","8",32114
